Commune,Département (numéro),Département (nom),Région
Armentières-en-Brie,77,Seine-et-Marne,ile-de-France
Armentières-sur-Avre,27,Eure,Normandie
Armentières-sur-Ourcq,02,Aisne,Hauts-de-France
Armentieux,32,Gers,Occitanie
Armes,58,Nièvre,Bourgogne-Franche-Comte
Armillac,47,Lot-et-Garonne,Nouvelle-Aquitaine
Armissan,11,Aude,Occitanie
Armix,01,Ain,Auvergne-Rhone-Alpes
Armous-et-Cau,32,Gers,Occitanie
Armoy,74,Haute-Savoie,Auvergne-Rhone-Alpes
Arnac,15,Cantal,Auvergne-Rhone-Alpes
Arnac-la-Poste,87,Haute-Vienne,Nouvelle-Aquitaine
Arnac-Pompadour,19,Corrèze,Nouvelle-Aquitaine
Arnac-sur-Dourdou,12,Aveyron,Occitanie
Arnage,72,Sarthe,Pays de la Loire
Arnancourt,52,Haute-Marne,Grand Est
Arnas,69,Rhone,Auvergne-Rhone-Alpes
Arrènes,23,Creuse,Nouvelle-Aquitaine
Arrens-Marsous,65,Hautes-Pyrénées,Occitanie
Arrentès-de-Corcieux,88,Vosges,Grand Est
Arrentières,10,Aube,Grand Est
Arrest,80,Somme,Hauts-de-France
Arreux,08,Ardennes,Grand Est
Arriance,57,Moselle,Grand Est
Arricau-Bordes,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arrien,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arrien-en-Bethmale,09,Ariège,Occitanie
Arrigas,30,Gard,Occitanie
Arrigny,51,Marne,Grand Est
Arro,2A,Corse-du-Sud,Corse
Arrodets,65,Hautes-Pyrénées,Occitanie
Arrodets-ez-Angles,65,Hautes-Pyrénées,Occitanie
Arromanches-les-Bains,14,Calvados,Normandie
Arronnes,03,Allier,Auvergne-Rhone-Alpes
Arronville,95,Val-d'Oise,ile-de-France
Arros-de-Nay,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arrosès,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arrouède,32,Gers,Occitanie
Arrout,09,Ariège,Occitanie
Arry,57,Moselle,Grand Est
Arry,80,Somme,Hauts-de-France
Ars,16,Charente,Nouvelle-Aquitaine
Ars,23,Creuse,Nouvelle-Aquitaine
Ars-en-Ré,17,Charente-Maritime,Nouvelle-Aquitaine
Ars-Laquenexy,57,Moselle,Grand Est
Ars-les-Favets,63,Puy-de-Dôme,Auvergne-Rhone-Alpes
Ars-sur-Formans,01,Ain,Auvergne-Rhone-Alpes
Ars-sur-Moselle,57,Moselle,Grand Est
